current_name,new_name
A380_COCKPIT_MISC02_COMP.PNG,A380X_COCKPIT_MISC02_COMP.PNG
A380_COCKPIT_MISC02_EMIS.PNG,A380X_COCKPIT_MISC02_EMIS.PNG
A380_COCKPIT_MISC02_NORMAL.PNG,A380X_COCKPIT_MISC02_NORM.PNG
A380_COCKPIT_MISC03_ALBEDO.PNG,A380X_COCKPIT_MISC03_ALBD.PNG
A380_COCKPIT_MISC03_COMP.PNG,A380X_COCKPIT_MISC03_COMP.PNG
A380_COCKPIT_MISC03_NORMAL.PNG,A380X_COCKPIT_MISC03_NORM.PNG
A380_COCKPIT_OVHD_KNOBS_4K_ALBEDO.PNG,A380X_COCKPIT_OVHD_KNOBS_ALBD.PNG
A380_COCKPIT_OVHD_KNOBS_4K_COMP.PNG,A380X_COCKPIT_OVHD_KNOBS_COMP.PNG
A380_COCKPIT_OVHD_KNOBS_4K_EMMIS.PNG,A380X_COCKPIT_OVHD_KNOBS_EMIS.PNG
A380_COCKPIT_OVHD_KNOBS_4K_NO_RED_EMMIS.PNG,A380X_COCKPIT_OVHD_KNOBS_NO_RED_EMIS.PNG
A380_COCKPIT_OVHD_KNOBS_4K_NORMAL.PNG,A380X_COCKPIT_OVHD_KNOBS_NORM.PNG
A380_COCKPIT_OVHD_SCREWS_4K_ALBEDO.PNG,A380X_COCKPIT_OVHD_SCREWS_ALBD.PNG
A380_COCKPIT_OVHD_SCREWS_4K_COMP.PNG,A380X_COCKPIT_OVHD_SCREWS_COMP.PNG
A380_COCKPIT_OVHD_SCREWS_4K_NORMAL.PNG,A380X_COCKPIT_OVHD_SCREWS_NORM.PNG
A380_COCKPIT_OVHD01_4K_ALBEDO.PNG,A380X_COCKPIT_OVHD01_ALBD.PNG
A380_COCKPIT_OVHD01_4K_COMP.PNG,A380X_COCKPIT_OVHD01_COMP.PNG
A380_COCKPIT_OVHD01_4K_NORMAL.PNG,A380X_COCKPIT_OVHD01_NORM.PNG
A380_COCKPIT_OVHD02_4K_ALBEDO.PNG,A380X_COCKPIT_OVHD02_ALBD.PNG
A380_COCKPIT_OVHD02_4K_COMP.PNG,A380X_COCKPIT_OVHD02_COMP.PNG
A380_COCKPIT_OVHD02_4K_NORMAL.PNG,A380X_COCKPIT_OVHD02_NORM.PNG
A380_COCKPIT_PEDESTAL_KNOBS01_4K_ALBEDO.PNG,A380X_COCKPIT_PEDESTAL_KNOBS01_ALBD.PNG
A380_COCKPIT_PEDESTAL_KNOBS01_4K_COMP.PNG,A380X_COCKPIT_PEDESTAL_KNOBS01_COMP.PNG
A380_COCKPIT_PEDESTAL_KNOBS01_4K_EMMIS.PNG,A380X_COCKPIT_PEDESTAL_KNOBS01_EMIS.PNG
A380_COCKPIT_PEDESTAL_KNOBS01_4K_NORMAL.PNG,A380X_COCKPIT_PEDESTAL_KNOBS01_NORM.PNG
A380_COCKPIT_PEDESTAL_KNOBS02_4K_ALBEDO.PNG,A380X_COCKPIT_PEDESTAL_KNOBS02_ALBD.PNG
A380_COCKPIT_PEDESTAL_KNOBS02_4K_COMP.PNG,A380X_COCKPIT_PEDESTAL_KNOBS02_COMP.PNG
A380_COCKPIT_PEDESTAL_KNOBS02_4K_EMMIS.PNG,A380X_COCKPIT_PEDESTAL_KNOBS02_EMIS.PNG
A380_COCKPIT_PEDESTAL_KNOBS02_4K_NORMAL.PNG,A380X_COCKPIT_PEDESTAL_KNOBS02_NORM.PNG
A380_COCKPIT_PEDESTAL_MISC01_4K_ALBEDO.PNG,A380X_COCKPIT_PEDESTAL_MISC01_ALBD.PNG
A380_COCKPIT_PEDESTAL_MISC01_4K_COMP.PNG,A380X_COCKPIT_PEDESTAL_MISC01_COMP.PNG
A380_COCKPIT_PEDESTAL_MISC01_4K_NORMAL.PNG,A380X_COCKPIT_PEDESTAL_MISC01_NORM.PNG
A380_COCKPIT_PEDESTAL_SCREWS_4K_ALBEDO.PNG,A380X_COCKPIT_PEDESTAL_SCREWS_ALBD.PNG
A380_COCKPIT_PEDESTAL_SCREWS_4K_COMP.PNG,A380X_COCKPIT_PEDESTAL_SCREWS_COMP.PNG
A380_COCKPIT_PEDESTAL_SCREWS_4K_NORMAL.PNG,A380X_COCKPIT_PEDESTAL_SCREWS_NORM.PNG
A380_COCKPIT_PEDESTAL01_4K_ALBEDO.PNG,A380X_COCKPIT_PEDESTAL01_ALBD.PNG
A380_COCKPIT_PEDESTAL01_4K_COMP.PNG,A380X_COCKPIT_PEDESTAL01_COMP.PNG
A380_COCKPIT_PEDESTAL01_4K_NORMAL.PNG,A380X_COCKPIT_PEDESTAL01_NORM.PNG
A380_COCKPIT_PEDESTAL02_4K_ALBEDO.PNG,A380X_COCKPIT_PEDESTAL02_ALBD.PNG
A380_COCKPIT_PEDESTAL02_4K_COMP.PNG,A380X_COCKPIT_PEDESTAL02_COMP.PNG
A380_COCKPIT_PEDESTAL02_4K_EMIS.PNG,A380X_COCKPIT_PEDESTAL02_EMIS.PNG
A380_COCKPIT_PEDESTAL02_4K_NORMAL.PNG,A380X_COCKPIT_PEDESTAL02_NORM.PNG
A380_COCKPIT_PEDESTAL03_4K_ALBEDO.PNG,A380X_COCKPIT_PEDESTAL03_ALBD.PNG
A380_COCKPIT_PEDESTAL03_4K_COMP.PNG,A380X_COCKPIT_PEDESTAL03_COMP.PNG
A380_COCKPIT_PEDESTAL03_4K_NORMAL.PNG,A380X_COCKPIT_PEDESTAL03_NORM.PNG
A380_COCKPIT_PEDESTAL04_4K_ALBEDO.PNG,A380X_COCKPIT_PEDESTAL04_ALBD.PNG
A380_COCKPIT_PEDESTAL04_4K_COMP.PNG,A380X_COCKPIT_PEDESTAL04_COMP.PNG
A380_COCKPIT_PEDESTAL04_4K_NORMAL.PNG,A380X_COCKPIT_PEDESTAL04_NORM.PNG
A380_COCKPIT_PUSHBUTTONS01_4K_ALBEDO.PNG,A380X_COCKPIT_PUSHBUTTONS01_ALBD.PNG
A380_COCKPIT_PUSHBUTTONS01_4K_COMP.PNG,A380X_COCKPIT_PUSHBUTTONS01_COMP.PNG
A380_COCKPIT_PUSHBUTTONS01_4K_NORMAL.PNG,A380X_COCKPIT_PUSHBUTTONS01_NORM.PNG
A380_COCKPIT_RUDDER_4K_ALBEDO.PNG,A380X_COCKPIT_RUDDER_ALBD.PNG
A380_COCKPIT_RUDDER_4K_COMP.PNG,A380X_COCKPIT_RUDDER_COMP.PNG
A380_COCKPIT_RUDDER_4K_NORMAL.PNG,A380X_COCKPIT_RUDDER_NORM.PNG
A380_COCKPIT_SEAT_TEXTILE_4K_ALBEDO.PNG,A380X_COCKPIT_SEAT_TEXTILE_ALBD.PNG
A380_COCKPIT_SEAT_TEXTILE_4K_COMP.PNG,A380X_COCKPIT_SEAT_TEXTILE_COMP.PNG
A380_COCKPIT_SEAT_TEXTILE_4K_NORMAL.PNG,A380X_COCKPIT_SEAT_TEXTILE_NORM.PNG
A380_COCKPIT_SEATS01_4K_ALBEDO.PNG,A380X_COCKPIT_SEATS01_ALBD.PNG
A380_COCKPIT_SEATS01_4K_COMP.PNG,A380X_COCKPIT_SEATS01_COMP.PNG
A380_COCKPIT_SEATS01_4K_NORMAL.PNG,A380X_COCKPIT_SEATS01_NORM.PNG
A380_COCKPIT_SEATS02_4K_ALBEDO.PNG,A380X_COCKPIT_SEATS02_ALBD.PNG
A380_COCKPIT_SEATS02_4K_COMP.PNG,A380X_COCKPIT_SEATS02_COMP.PNG
A380_COCKPIT_SEATS02_4K_NORMAL.PNG,A380X_COCKPIT_SEATS02_NORM.PNG
A380_COCKPIT_SEATS03_4K_ALBEDO.PNG,A380X_COCKPIT_SEATS03_ALBD.PNG
A380_COCKPIT_SEATS03_4K_COMP.PNG,A380X_COCKPIT_SEATS03_COMP.PNG
A380_COCKPIT_SEATS03_4K_NORMAL.PNG,A380X_COCKPIT_SEATS03_NORM.PNG
A380_COCKPIT_SEATSBELT_TEXTILE_4K_ALBEDO.PNG,A380X_COCKPIT_SEATBELT_TEXTILE_ALBD.PNG
A380_COCKPIT_SEATSBELT_TEXTILE_4K_COMP.PNG,A380X_COCKPIT_SEATBELT_TEXTILE_COMP.PNG
A380_COCKPIT_SEATSBELT_TEXTILE_4K_NORMAL.PNG,A380X_COCKPIT_SEATBELT_TEXTILE_NORM.PNG
A380_COCKPIT_SIDEBOARDS01_4K_ALBEDO.PNG,A380X_COCLPIT_SIDEBOARDS01_ALBD.PNG
A380_COCKPIT_SIDEBOARDS01_4K_COMP.PNG,A380X_COCKPIT_SIDEBOARDS01_COMP.PNG
A380_COCKPIT_SIDEBOARDS01_4K_NORMAL.PNG,A380X_COCKPIT_SIDEBOARDS01_NORM.PNG
A380_COCKPIT_SIDEBOARDS02_4K_ALBEDO.PNG,A380X_COCKPIT_SIDEBOARDS02_ALBD.PNG
A380_COCKPIT_SIDEBOARDS02_4K_COMP.PNG,A380X_COCKPIT_SIDEBOARDS02_COMP.PNG
A380_COCKPIT_SIDEBOARDS02_4K_NORMAL.PNG,A380X_COCKPIT_SIDEBOARDS02_NORM.PNG
A380_COCKPIT_SIDEWALL_ISOLATIONS_4K_ALBEDO.PNG,A380X_COCKPIT_SIDEWALL_ISOLATIONS_ALBD.PNG
A380_COCKPIT_SIDEWALL_ISOLATIONS_4K_COMP.PNG,A380X_COCKPIT_SIDEWALL_ISOLATIONS_COMP.PNG
A380_COCKPIT_SIDEWALL_ISOLATIONS_4K_NORMAL.PNG,A380X_COCKPIT_SIDEWALL_ISOLATIONS_NORM.PNG
A380_COCKPIT_SIDEWALL_MISC01_4K_ALBEDO.PNG,A380X_COCKPIT_SIDEWALL_MISC01_ALBD.PNG
A380_COCKPIT_SIDEWALL_MISC01_4K_COMP.PNG,A380X_COCKPIT_SIDEWALL_MISC01_COMP.PNG
A380_COCKPIT_SIDEWALL_MISC01_4K_NORMAL.PNG,A380X_COCKPIT_SIDEWALL_MISC01_NORM.PNG
